"date","price","receive_count","sent_count","avg_fee","blocksize","btchashrate","OIL","ecr20_transfers","GOLD","searches","hashrate","marketcap","difficulty","s&p500","transactionfee","transactions","tweet_count","unique_adresses","VIX","UVYX"
2017-01-04,10.88,10889,16189,0.01,1717,2589949.6705277,53.26,1769,1247.1,2,6603.4409,952.96841724,87.318,2270.75,3.9504583436606e+19,50673,3452,958122,11.85,6730
2017-01-05,10.2,10244,17153,0.01,1676,2542572.54240829,53.76,2593,1262.1,2,6748.8433,893.73242488125,90.096,2269,34857577903488733184,49596,2896,961441,11.67,6680
2017-01-06,10.07,10350,15256,0.01,1593,2542572.54240829,53.99,2024,1255.7,2,6783.5835,882.657507985,91.837,2276.98,31319076402295599104,43804,2283,964753,11.32,6510
2017-01-07,9.79,8745,15148,0.01,1570,2542572.54240829,53.99,1865,1255.7,2,7025.7055,858.427148095,93.445,2276.98,30184494073781288960,43622,1653,967383,11.32,6510
2017-01-08,10.27,7912,14525,0.01,1557,2147763.14141322,53.99,1729,1255.7,1,7052.8143,900.84090526625,94.534,2276.98,33024227832090476544,42727,1734,969583,11.32,6510
2017-01-09,10.2,10006,15169,0.01,1595,2147763.14141322,51.96,1413,1267.6,1,7281.103,895.0246549125,97.382,2268.9,35919169690070732800,46188,1968,972005,11.56,6480
2017-01-10,10.55,8381,14988,0.01,1686,2147763.14141322,50.82,2845,1268.5,1,7283.0151,926.067021134375,98.722,2268.9,38709404013881221120,48179,1847,974323,11.49,6380
2017-01-11,9.83,9143,15081,0.01,1591,2897297.86405773,52.25,1175,1280,1,7356.4905,863.176109432187,99.096,2275.32,34634134307247943680,45221,1661,976598,11.26,6120
2017-01-12,9.81,9360,15555,0.01,1697,2897297.86405773,53.01,2240,1283.3,1,7432.253,861.7294730925,99.976,2270.44,37083060660754735104,50589,1611,980228,11.54,6104
2017-01-13,9.78,8588,14856,0.01,1729,2897297.86405773,52.37,2584,1281.3,1,7568.8324,859.40453722125,101.356,2274.64,35782731983713529856,50833,1739,983851,11.23,6126
2017-01-14,9.78,7887,14415,0.01,1499,2796813.54507307,52.37,1286,1281.3,1,7587.9426,859.71239328375,102.517,2274.64,28739323359416135680,42044,1446,987294,11.23,6126
2017-01-15,9.88,7294,15071,0.01,1498,2796813.54507307,52.45,1460,1203.35,1,7741.9086,868.81612462125,103.641,2274.64,29981494275967729664,41748,1820,989724,11.23,6126
2017-01-16,9.59,9257,15563,0.01,1575,2796813.54507307,52.52,902,1202.85,1,7735.3142,843.616908349687,104.134,2274.64,32523713407245291520,45375,1817,992133,11.23,6126
2017-01-17,10.14,8454,16300,0.01,1642,2528855.36111398,52.48,2893,1297.4,1,7657.6882,892.3168680075,103.817,2267.89,39422370215030628352,46671,1821,994840,11.87,6080
2017-01-18,10.19,7951,15191,0.01,1583,2528855.36111398,51.08,1171,1295.7,1,7592.5237,897.038937765313,102.053,2271.89,33984213641577644032,44994,2604,997440,12.48,6038
2017-01-19,10.43,8829,14975,0.01,1552,2528855.36111398,51.37,2315,1285.5,1,8114.4421,918.501472555625,107.184,2263.69,31295282022109786112,43628,1887,999958,12.78,6162
2017-01-20,10.6,9280,15973,0.01,1609,3031276.95603728,52.42,2548,1289.2,1,7838.6452,933.80213758125,106.857,2271.31,33647780082062598144,45775,1648,1003081,11.54,5680
2017-01-21,10.91,8307,15080,0.01,1504,3031276.95603728,52.42,1405,1289.2,1,8044.0736,961.455369490938,108.358,2271.31,30663926862289092608,43302,1416,1005461,11.54,5680
2017-01-22,10.71,7853,15274,0.01,1616,3031276.95603728,52.42,1761,1289.2,1,8083.9775,944.168354856562,108.811,2271.31,35768655611072716800,47432,1596,1008099,11.54,5680
2017-01-23,10.78,8372,15153,0.01,1612,2910612.14912321,52.75,1374,1298.9,1,8232.8818,950.678943011875,111.109,2265.2,35018861180104654848,46076,1924,1010801,11.77,5590
2017-01-24,10.51,8517,16124,0.01,1754,2910612.14912321,53.18,3756,1294.1,1,8124.3364,927.1981039925,109.885,2280.07,41164260408630845440,50414,1831,1013213,11.07,5068
2017-01-25,10.51,7811,15022,0.01,1644,2910612.14912321,52.75,2594,1281.1,1,8145.8979,927.528365962812,110.021,2298.37,37756706335768862720,46256,1851,1015638,10.81,4820
2017-01-26,10.65,8284,14974,0.01,1673,3320832.65336205,53.78,2890,1272.9,1,8367.5758,940.222150832813,111.654,2296.68,36459947636460863488,46856,1771,1018788,10.63,4882
2017-01-27,10.51,7909,14899,0.01,1658,3320832.65336205,53.17,2887,1271.7,1,8244.2883,928.18944003625,112.707,2294.69,35349428697352601600,46680,1834,1021176,10.58,4766
2017-01-28,10.54,7763,14829,0.01,1628,3320832.65336205,53.17,1594,1271.7,1,8279.3794,931.171191373125,111.597,2294.69,33345009009816924160,45189,1470,1023857,10.58,4766
